Sex,Race,Ethnicity,Age,ResidentStatus
M,W,H,45,N
M,B,H,28,R
M,B,N,19,R
M,W,H,18,R
M,W,H,38,R
M,W,H,38,R
M,B,N,27,R
M,W,N,27,R
M,B,H,42,R
M,W,N,26,R
M,B,H,29,R
M,W,H,35,R
F,B,N,31,R
M,B,H,26,R
M,B,N,25,R
M,W,N,41,N
M,W,H,35,R
M,W,N,22,R
M,W,H,20,R
M,B,N,19,R
M,W,H,20,R
M,B,N,24,N
M,B,H,29,N
M,B,N,17,R
M,B,N,19,R
M,W,H,29,R
M,W,H,34,R
M,U,U,26,R
M,B,N,24,R
M,W,N,24,R
M,W,N,24,R
F,B,N,19,R
M,W,N,20,R
M,W,N,29,R
M,W,H,23,R
M,W,U,27,N
M,B,N,17,R
M,B,H,29,R
M,B,N,26,R
M,W,H,23,R
M,B,N,17,R
M,W,N,23,R
M,W,N,23,R
M,W,N,16,R
M,B,N,22,R
M,B,N,17,R
M,W,N,37,N
M,B,N,29,R
M,B,N,25,R
M,B,N,19,R
M,W,H,21,R
M,W,N,26,N
M,W,N,21,R
M,B,N,21,R
M,W,H,20,R
M,B,N,17,R
M,B,N,16,R
M,B,N,19,R
M,B,N,20,R
M,B,N,26,R
M,B,N,25,R
M,B,H,22,N
M,B,N,17,R
M,B,N,15,R
M,W,N,25,R
M,W,H,17,R
M,B,N,24,R
M,B,N,31,R
M,W,H,18,R
M,B,H,17,R
M,W,H,18,R
M,B,N,18,R
M,B,N,16,R
M,B,H,20,R
M,W,N,30,R
F,W,N,57,R
M,W,H,49,N
M,B,N,34,N
M,W,N,31,N
M,B,N,31,R
M,B,N,29,R
M,B,N,29,R
M,W,N,27,R
M,B,N,25,R
M,W,H,25,R
M,B,N,25,N
M,W,N,25,R
M,B,N,25,R
M,B,N,22,R
M,B,N,18,R
M,W,N,34,R
M,B,N,33,R
M,W,N,32,N
M,B,N,30,R
M,W,N,30,R
M,W,N,29,N
M,W,H,28,R
M,B,N,27,R
M,B,N,27,R
M,W,N,26,N
M,W,H,26,N
M,B,N,26,R
M,W,N,24,R
M,B,N,24,R
M,B,N,25,N
M,W,N,24,R
M,B,H,24,R
M,B,N,24,R
M,W,H,22,R
M,B,H,20,R
M,B,H,20,R
M,B,N,29,R
M,B,H,18,N
M,B,N,49,R
M,W,N,50,R
M,B,N,35,N
M,W,H,33,R
M,W,N,31,R
M,W,H,30,N
M,B,N,30,R
M,W,N,28,N
M,B,N,26,R
M,W,N,26,R
M,B,N,26,R
M,B,N,26,R
M,B,N,24,R
M,B,N,24,R
M,W,N,24,R
M,W,H,22,R
M,B,N,22,R
M,B,N,22,R
M,W,N,20,R
M,B,N,20,R
M,B,N,20,R
M,B,N,30,R
M,B,N,35,R
M,W,N,35,R
M,B,N,33,N
M,W,H,32,R
M,B,N,32,R
M,B,N,31,R
M,B,H,30,R
M,B,H,30,R
M,B,N,28,R
M,B,N,28,R
M,W,N,24,R
M,B,N,22,R
M,B,N,18,N
M,W,H,18,R
M,B,N,23,R
M,B,N,33,R
M,B,N,32,R
M,W,N,31,R
M,B,N,31,R
M,B,N,30,R
M,W,N,30,R
M,W,H,30,R
M,B,N,28,R
M,W,N,28,N
M,W,N,28,R
M,W,H,26,R
M,B,H,26,R
M,W,H,26,N
M,B,H,26,R
M,W,H,24,N
M,B,N,24,R
M,B,N,24,R
M,B,N,22,R
M,W,N,20,R
M,B,N,41,R
M,W,H,37,R
M,W,H,32,N
M,W,H,32,R
M,B,N,32,R
M,W,N,30,R
M,W,H,30,R
M,W,H,30,R
M,W,N,29,R
M,B,H,28,N
M,B,N,26,R
M,B,H,26,R
M,W,H,26,R
M,W,N,26,N
M,W,H,24,R
M,B,N,22,N
M,B,N,20,R
F,B,N,26,R
M,B,N,35,R
M,B,H,35,N
M,U,U,31, 
M,B,H,30,R
M,W,N,34,N
M,W,N,28,N
M,B,N,28,R
M,W,N,26,R
M,W,N,26,R
M,B,N,29,R
M,B,N,34,R
M,W,H,24,N
M,B,N,18,R
M,B,N,37,R
M,B,H,28,R
M,B,N,26,R
M,B,N,26,N
M,W,H,26,N
M,B,H,24,R
M,W,N,24,N
M,W,H,22,R
M,B,N,20,R
M,B,N,20,R
M,W,N,33,R
M,W,H,29,R
M,B,N,28,R
M,B,H,28,R
M,W,H,26,R
M,W,H,26,N
M,W,N,24,R
M,B,H,24,R
M,B,N,22,N
M,B,N,39,N
M,B,N,30,N
M,B,N,30,R
M,W,N,28,R
M,B,N,28,R
M,W,H,26,R
M,B,N,26,R
M,A,N,26,N
M,B,N,26,R
M,B,N,26,R
M,B,N,24,R
M,B,H,24,N
M,W,H,24,R
M,B,H,33,N
M,B,N,22,R
M,U,U,34,R
M,W,H,40,N
F,W,H,33,R
M,W,N,34,N
M,B,N,33,R
M,B,N,31,N
M,W,N,28,R
M,B,N,26,R
M,B,N,26,R
M,W,H,26,R
M,B,H,26,R
M,W,H,26,N
M,W,H,26,N
M,W,N,22,R
M,W,H,22,R
M,W,H,20,R
M,W,N,47,N
M,B,N,45,R
M,W,H,40,N
M,W,N,40,N
M,W,N,35,R
M,B,N,31,R
M,W,N,28,R
M,B,N,28,N
M,W,N,26,R
M,B,N,24,R
M,W,H,24,N
M,B,N,24,R
M,W,N,21,R
M,B,N,21,R
M,B,H,39,R
M,W,H,35,R
M,W,H,35,R
M,B,N,32,N
M,B,H,32,R
M,W,N,29,R
M,B,H,29,R
M,W,N,28,R
M,B,H,28,N
M,W,N,26,R
M,B,H,26,R
M,W,N,24,R
M,B,H,24,R
M,B,N,24,R
M,B,N,21,R
F,W,N,21,R
M,W,N,19,R
M,B,N,26,R
M,B,N,52,R
F,B,H,35,R
F,W,N,33,N
M,B,N,32,R
M,B,N,32,R
M,W,H,31,R
M,B,N,29,R
M,W,N,29,R
M,B,N,29,N
M,B,H,27,R
M,B,N,27,N
M,B,N,28,R
M,B,N,26,R
M,B,N,26,R
U,W,H,26,R
M,B,N,23,R
M,W,N,21,R
M,W,N,40,N
M,W,N,37,R
M,W,N,33,R
M,B,H,32,N
M,B,N,29,R
M,B,H,29,N
M,B,N,29,R
M,B,N,28,R
M,W,N,27,R
M,W,H,25,R
M,W,N,25,R
M,B,N,25,N
M,W,N,25,R
M,B,H,21,R
M,B,N,21,R
M,B,N,21,R
M,B,N,21,R
M,B,H,22,R
M,W,H,23,N
M,W,N,56,N
M,W,N,44,N
M,B,N,34,R
M,B,N,33,R
M,W,N,32,R
F,W,N,32,N
M,B,N,29,R
M,B,N,29,R
M,B,N,27,R
M,W,H,27,R
M,W,N,27,N
M,W,H,25,R
M,B,N,25,N
M,B,N,23,R
M,B,N,23,R
M,W,N,21,N
M,W,N,31,N
M,B,N,29,R
M,W,H,29,N
M,W,N,29,N
M,B,H,29,R
M,W,N,29,R
M,W,N,29,N
F,W,N,34,R
M,B,N,27,R
M,W,N,27,R
M,B,H,25,R
M,B,H,25,R
M,W,H,23,R
M,W,H,17,R
M,B,N,23,R
M,W,N,42,N
M,B,N,38,R
M,B,N,32,N
M,B,N,29,R
M,W,N,29,R
M,W,N,27,R
M,W,H,25,R
M,B,N,25,R
M,B,N,19,R
M,W,H,19,R
M,B,N,26,R
M,W,N,36,R
M,W,H,34,R
M,W,H,34,R
M,W,N,33,R
M,W,N,36,N
M,W,N,31,R
M,B,N,31,R
M,W,H,29,R
M,B,N,27,R
M,B,N,27,N
M,B,N,27,R
M,W,N,21,R
M,B,N,21,R
M,W,N,19,R
M,W,N,39,R
M,B,N,34,R
M,B,N,31,N
M,W,H,29,R
M,W,N,25,R
M,B,N,25,R
M,W,H,23,N
M,B,N,23,R
M,W,N,21,R
M,B,H,21,R
M,B,N,21,R
M,W,N,21,R
M,W,H,24,R
M,W,N,40,N
M,W,N,36,N
M,B,H,32,R
M,B,N,31,R
M,B,H,29,N
M,B,N,29,R
M,B,N,36,N
M,W,N,27,N
M,B,N,27,R
M,W,N,27,R
M,B,N,27,R
M,W,N,27,R
M,W,H,25,R
M,B,N,25,R
M,B,N,25,R
M,B,N,25,N
M,B,N,21,R
M,B,N,27,R
M,B,N,21,R
M,B,N,28,R
M,W,N,57,R
M,B,N,31,R
M,W,N,30,R
M,B,N,29,R
M,W,H,29,R
M,B,N,25,R
M,B,N,25,R
M,W,H,25,R
M,B,N,23,R
M,B,N,23,R
M,B,N,21,R
M,B,H,28,R
M,B,N,40,N
M,W,N,40,N
M,B,N,36,R
M,B,N,34,R
M,W,N,43,N
M,W,H,30,R
M,W,N,30,N
M,B,N,30,R
M,W,H,30,R
M,W,H,30,R
M,W,N,29,R
M,W,H,29,R
M,B,H,27,R
M,W,N,27,R
M,B,N,27,R
M,B,H,25,R
M,B,N,25,R
M,W,N,25,R
M,B,H,25,N
M,B,N,23,R
M,B,N,33,R
M,W,N,23,R
M,B,N,21,R
M,B,N,21,R
M,B,N,32,R
M,B,N,36,R
M,B,N,34,N
M,B,N,31,R
M,W,N,32,R
M,B,N,30,R
M,B,N,30,R
M,B,N,30,R
M,B,H,29,R
M,W,H,33,R
M,B,N,27,R
M,B,N,27,R
M,W,H,27,R
M,W,H,27,R
M,W,H,25,N
M,W,N,21,R
M,B,N,21,R
M,W,H,19,N
M,W,H,25,R
M,B,N,19,R
M,W,N,44,R
M,W,N,41,N
M,B,N,30,N
M,B,H,30,R
M,B,N,30,R
M,B,H,29,R
M,B,N,28,R
F,W,H,25,R
F,B,N,23,R
M,W,N,23,N
M,B,N,23,R
M,B,H,20,N
M,U,U,48,N
M,W,N,55,N
M,W,N,38,N
M,B,H,27,R
M,W,H,24,R
M,B,N,34,R
M,B,N,26,R
M,B,N,26,R
M,W,H,23,R
M,B,H,30,R
M,W,N,34,N
M,B,U,43,N
M,W,H,19,R
M,W,H,22,R
M,W,H,34,R
M,B,N,32,N
M,B,H,39,R
M,B,H,48,R
M,B,N,22,N
M,B,H,37,R
M,B,H,39,N
M,W,H,38,R
M,W,H,34,R
M,W,H,43,R
M,B,H,24,R
M,B,H,29,R
M,B,H,27,R
M,B,N,25,R
M,W,H,40,R
M,B,H,25,R
M,W,H,33,R
M,B,H,30,N
M,B,H,20,R
M,W,H,31,R
M,W,H,28,R
M,B,H,32,N
M,B,N,29,R
M,B,N,38,R
M,W,H,36,N
M,W,H,47,R
M,B,N,34,N
M,W,H,40,R
M,B,H,36,N
M,W,H,47,R
M,B,N,25,R
M,W,N,33,N
M,B,H,27,R
M,B,N,27,R
M,W,N,24,N
M,W,N,54,R
M,B,N,25,N
M,B,N,30,R
M,W,H,65,N
M,B,N,25,N
M,B,N,27,R
M,B,N,20,R
M,B,H,38,R
M,W,N,27,N
M,W,N,28,R
F,W,H,42,R
M,W,N,31,R
M,B,H,37,R
M,W,H,38,R
F,B,H,51,R
M,W,H,41,R
M,W,H,39,R
M,W,H,37,R
M,W,H,46,N
M,W,H,38,N
M,A,H,36,R
M,W,H,47,R
M,W,H,39,R
M,W,H,36,R
M,B,N,25,R
M,B,N,28,R
M,B,N,23,N
M,W,N,25,N
M,W,H,23,R
M,W,H,35,N
M,B,H,34,R
M,W,H,33,R
M,B,H,32,R
M,B,H,32,R
M,W,H,32,R
M,W,H,31,R
M,W,H,30,N
M,B,H,29,R
M,B,N,27,R
M,B,H,26,R
M,W,H,23,R
M,W,H,22,R
M,W,H,31,R
M,W,H,31,R
M,W,H,31,R
M,B,H,31,R
M,B,H,31,R
M,W,H,29,N
M,B,N,26,R
M,B,H,24,R
M,W,H,23,R
M,W,H,23,R
M,W,H,22,R
M,W,H,21,R
M,W,H,19,R
F,W,H,36,R
M,B,H,30,N
M,B,H,29,R
M,W,H,28,R
M,W,H,26,R
M,B,H,26,R
M,B,H,21,R
M,W,H,35,R
M,W,H,40,R
M,W,H,34,N
M,W,H,34,N
M,W,N,33,R
M,W,H,32,R
M,W,H,30,R
M,W,H,30,R
M,B,H,29,R
M,B,H,27,N
M,B,H,24,R
M,W,H,34,R
M,B,N,25,R
M,W,H,28,N
M,B,N,26,R
M,B,N,31,R
M,B,N,31,R
M,W,H,31,R
M,B,N,18,R
M,B,N,22,R
M,B,N,21,R
M,B,N,24,R
M,B,N,22,R
M,B,N,27,N
M,B,N,24,R
M,B,N,38,R
M,B,N,29,R
