DocNum,AgencyName,Type,Status,StatusDate,IssueDate
16000002,WAL-PD,FIO,ACTIVE,1/8/2016 1:18:00,01/08/2016 1:29:00
16000004,WAL-PD,FIO,ACTIVE,01/11/2016 1:20:00,01/11/2016 1:18:00
16000019,WAL-PD,FIO,ACTIVE,02/27/2016 21:17:00,02/27/2016 21:59:00
16000025,WAL-PD,FIO,ACTIVE,03/28/2016 2:55:00,03/28/2016 2:53:00
16000091,WAL-PD,FIO,ACTIVE,07/08/2016 8:50:00,07/08/2016 8:49:00
16000093,WAL-PD,FIO,ACTIVE,07/11/2016 19:11:00,07/11/2016 19:12:00
16000140,WAL-PD,FIO,ACTIVE,11/24/2016 1:20:00,11/24/2016 1:20:00
16000142,WAL-PD,FIO,ACTIVE,12/12/2016 3:57:00,12/12/2016 3:40:00
16000147,WAL-PD,FIO,ACTIVE,12/21/2016 19:52:00,12/21/2016 19:51:00
17000030,WAL-PD,FIO,ACTIVE,04/24/2017 19:24:00,04/24/2017 19:24:00
17000046,WAL-PD,FIO,ACTIVE,06/12/2017 13:20:00,06/12/2017 13:19:00
17000052,WAL-PD,FIO,ACTIVE,06/18/2017 10:04:00,06/18/2017 10:04:00
17000057,WAL-PD,FIO,ACTIVE,06/29/2017 14:42:00,06/29/2017 14:42:00
17000062,WAL-PD,FIO,ACTIVE,07/11/2017 22:28:00,07/11/2017 22:29:00
17000065,WAL-PD,FIO,ACTIVE,08/07/2017 4:33:00,08/07/2017 4:31:00
17000069,WAL-PD,FIO,ACTIVE,08/21/2017 6:29:00,08/21/2017 2:35:00
17000089,WAL-PD,FIO,ACTIVE,10/24/2017 11:13:00,10/24/2017 11:08:00
17000091,WAL-PD,FIO,ACTIVE,11/03/2017 8:14:00,11/02/2017 8:14:00
17000094,WAL-PD,FIO,ACTIVE,11/10/2017 4:53:00,11/10/2017 4:53:00
18000024,WAL-PD,FIO,ACTIVE,03/10/2018 21:49:00,03/10/2018 21:48:00
18000037,WAL-PD,FIO,ACTIVE,04/04/2018 17:11:00,04/04/2018 17:11:00
18000047,WAL-PD,FIO,ACTIVE,04/22/2018 18:10:00,04/22/2018 18:09:00
18000049,WAL-PD,FIO,ACTIVE,04/29/2018 4:44:00,04/29/2018 4:43:00
18000050,WAL-PD,FIO,ACTIVE,04/29/2018 13:04:00,04/29/2018 13:04:00
18000054,WAL-PD,FIO,ACTIVE,05/08/2018 7:23:00,05/08/2018 7:22:00
18000070,WAL-PD,FIO,ACTIVE,07/02/2018 18:46:00,07/02/2018 18:45:00
19000020,WAL-PD,FIO,ACTIVE,02/26/2019 0:42:00,02/26/2019 0:42:00
19000040,WAL-PD,FIO,ACTIVE,05/01/2019 21:37:00,05/01/2019 21:37:00
19000045,WAL-PD,FIO,ACTIVE,05/14/2019 17:08:00,05/14/2019 17:07:00
19000077,WAL-PD,FIO,ACTIVE,08/04/2019 16:32:00,08/04/2019 16:31:00
19000094,WAL-PD,FIO,ACTIVE,08/15/2019 20:14:00,08/15/2019 20:13:00
19000106,WAL-PD,FIO,ACTIVE,09/17/2019 1:27:00,09/17/2019 1:27:00
19000118,WAL-PD,FIO,ACTIVE,10/12/2019 22:12:00,10/12/2019 22:11:00
19000119,WAL-PD,FIO,ACTIVE,10/19/2019 17:46:00,10/19/2019 17:45:00
19000120,WAL-PD,FIO,ACTIVE,10/21/2019 1:11:00,10/21/2019 1:10:00
19000125,WAL-PD,FIO,ACTIVE,11/06/2019 22:26:00,11/06/2019 22:26:00
19000132,WAL-PD,FIO,ACTIVE,12/11/2019 21:52:00,12/11/2019 21:50:00
20000007,WAL-PD,FIO,ACTIVE,01/30/2020 1:43:00,01/30/2020 1:43:00
20000040,WAL-PD,FIO,ACTIVE,08/11/2020 20:17:00,08/11/2020 19:00:00
20000041,WAL-PD,FIO,ACTIVE,08/21/2020 4:06:00,08/21/2020 4:05:00